
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-03-22;21.624,75;5565933975456;24.477,23;4561611095427;23.733,74;6418201608772;44.000,57;864218045945;21.531,68;8383725149331
2010-03-23;21.649,22;5572174020734;24.490,72;4565066371636;23.751,89;6423711741739;44.055,79;865390465916;21.552,32;8392010167459
2010-03-24;21.691,10;5583555610591;24.541,97;4575274314505;23.807,94;6439543123755;44.121,23;866820633897;21.600,21;8410727696918
2010-03-25;21.667,98;5577440924198;24.521,36;4573669815331;23.764,17;6429236905062;44.060,92;865753182943;21.564,32;8396613808717
2010-03-26;21.648,98;5573479046739;24.513,99;4572722295943;23.744,05;6422953855004;44.031,73;865207917114;21.544,94;8389724325640
2010-03-27;21.648,98;5573479046739;24.513,99;4572722295943;23.744,05;6422953855004;44.031,73;865207917114;21.544,94;8389724325640
2010-03-28;21.648,98;5573479046739;24.513,99;4572722295943;23.744,05;6422953855004;44.031,73;865207917114;21.544,94;8389724325640
2010-03-29;21.657,93;5575800641745;24.525,72;4575857280210;23.756,18;6427557098415;44.043,29;865452863595;21.554,39;8389808282903
2010-03-30;21.728,22;5593273794176;24.605,49;4591497881044;23.837,07;6447754086665;44.149,22;867579131389;21.622,78;8416498273999
2010-03-31;21.746,76;5596152399488;24.624,73;4593042862420;23.847,95;6447189891230;44.188,08;867321424345;21.631,99;8421292681529
2010-04-01;21.744,05;5594503938510;24.611,01;4590890444935;23.850,55;6447107850265;44.203,57;865747330844;21.624,27;8414979691556
2010-04-02;21.744,05;5594503938510;24.611,01;4590890444935;23.850,55;6447107850265;44.203,57;865747330844;21.624,27;8414979691556
2010-04-03;21.744,05;5594503938510;24.611,01;4590890444935;23.850,55;6447107850265;44.203,57;865747330844;21.624,27;8414979691556
2010-04-04;21.744,05;5594503938510;24.611,01;4590890444935;23.850,55;6447107850265;44.203,57;865747330844;21.624,27;8414979691556
2010-04-05;21.819,61;5612099836828;24.704,58;4608178880898;23.942,04;6471713574928;44.353,50;870001839337;21.706,91;8442357100260
2010-04-06;21.859,25;5621764783342;24.751,17;4615597865136;23.976,15;6481957112190;44.426,44;871540747082;21.745,47;8456623435374
2010-04-07;21.938,88;5642002753994;24.848,88;4633417891987;24.066,13;6505643606757;44.552,67;874089586012;21.817,90;8485473343130
2010-04-08;21.905,78;5633328228256;24.810,30;4626587980820;24.041,10;6499646102677;44.510,33;872983470166;21.789,75;8475376635046
2010-04-09;21.854,21;5620146942468;24.752,11;4616509233569;23.960,69;6477027807408;44.399,97;870792797915;21.735,92;8456319078256
2010-04-10;21.854,21;5620146942468;24.752,11;4616509233569;23.960,69;6477027807408;44.399,97;870792797915;21.735,92;8456319078256
2010-04-11;21.854,21;5620146942468;24.752,11;4616509233569;23.960,69;6477027807408;44.399,97;870792797915;21.735,92;8456319078256
2010-04-12;21.883,11;5626673893789;24.805,34;4624578542922;24.008,00;6487852930508;44.471,18;872329183126;21.771,85;8470499892705
2010-04-13;21.883,57;5627478669029;24.810,63;4626486990248;24.018,81;6491063504134;44.493,83;872616116834;21.782,55;8475421862257
2010-04-14;21.855,98;5622141845477;24.782,51;4624264102807;23.984,68;6485591314748;44.431,64;871642520607;21.752,10;8464972500572
2010-04-15;21.939,37;5642849008005;24.875,24;4648417162713;24.072,67;6509096826266;44.579,11;871088441406;21.836,84;8495579196997
2010-04-16;22.021,11;5665289905988;24.938,71;4663338300039;24.136,07;6529798758846;44.678,50;875355018336;21.909,57;8522474123635
2010-04-17;22.021,11;5665289905988;24.938,71;4663338300039;24.136,07;6529798758846;44.678,50;875355018336;21.909,57;8522474123635
2010-04-18;22.021,11;5665289905988;24.938,71;4663338300039;24.136,07;6529798758846;44.678,50;875355018336;21.909,57;8522474123635
2010-04-19;21.924,49;5647398182780;24.820,66;4643047832841;24.036,87;6512781762124;44.507,63;872371490707;21.807,55;8500073967219
2010-04-20;21.858,74;5631036886983;24.749,76;4630844885168;23.951,62;6489960390209;44.380,36;870444094339;21.739,54;8474426179450
2010-04-21;21.982,86;5662352053387;24.887,56;4656958031001;24.075,48;6524113076276;44.563,43;874209308431;21.851,65;8518561212726
2010-04-22;21.971,99;5658525629588;24.868,26;4654193517562;24.061,89;6519189227894;44.550,87;874100407538;21.837,05;8512535894116
2010-04-23;21.900,67;5640286957329;24.795,08;4641412337425;23.984,16;6498293418583;44.417,20;871518001752;21.769,42;8486204966213
2010-04-24;21.900,67;5640286957329;24.795,08;4641412337425;23.984,16;6498293418583;44.417,20;871518001752;21.769,42;8486204966213
2010-04-25;21.900,67;5640286957329;24.795,08;4641412337425;23.984,16;6498293418583;44.417,20;871518001752;21.769,42;8486204966213
2010-04-26;21.954,88;5653763049910;24.867,50;4656071328100;24.031,20;6509735189213;44.522,59;873621026003;21.816,98;8503635025673
2010-04-27;21.981,56;5665573613775;24.887,44;4660685986788;24.051,60;6516902270861;44.557,42;874232553869;21.841,80;8513440411530
2010-04-28;21.853,61;5633285497724;24.783,74;4641826893370;23.909,27;6477517747851;44.347,26;870252979653;21.717,15;8462410526753
2010-04-29;21.851,76;5631022250784;24.760,81;4638558658153;23.914,25;6477895121078;44.316,20;869703357153;21.717,74;8463383574690
2010-04-30;21.919,79;5644464083018;24.823,21;4647282414730;23.981,70;6493804741803;44.440,37;871046333578;21.782,85;8489754654940
2010-05-01;21.919,79;5644464083018;24.823,21;4647282414730;23.981,70;6493804741803;44.440,37;871046333578;21.782,85;8489754654940
2010-05-02;21.919,79;5644464083018;24.823,21;4647282414730;23.981,70;6493804741803;44.440,37;871046333578;21.782,85;8489754654940
2010-05-03;21.894,03;5635111199819;24.803,44;4641453168428;23.966,86;6490725158065;44.424,40;868632187337;21.751,82;8472825837113
2010-05-04;21.900,56;5630963877766;24.809,42;4641843827961;23.973,93;6492282986562;44.440,42;868991189604;21.763,56;8471961858883
2010-05-05;21.777,86;5599087713362;24.702,34;4622125880250;23.843,07;6456678596819;44.243,99;866322708060;21.649,83;8426820143956
2010-05-06;21.661,94;5569709215557;24.583,32;4599262082499;23.729,09;6427393918810;44.025,02;862042431486;21.544,46;8386794259959
2010-05-07;21.439,39;5512229138637;24.384,79;4562352506908;23.498,93;6362450594613;43.667,97;854894905351;21.333,21;8303301885412
2010-05-08;21.439,39;5512229138637;24.384,79;4562352506908;23.498,93;6362450594613;43.667,97;854894905351;21.333,21;8303301885412
2010-05-09;21.439,39;5512229138637;24.384,79;4562352506908;23.498,93;6362450594613;43.667,97;854894905351;21.333,21;8303301885412
2010-05-10;21.337,62;5486367815339;24.277,89;4541775470862;23.386,09;6330406234598;43.484,96;851361102601;21.235,41;8264844724915
2010-05-11;21.604,02;5554834308011;24.579,41;4598585089520;23.653,36;6401082845385;43.920,74;859968278631;21.486,43;8362432990022
2010-05-12;21.632,24;5560257269026;24.617,90;4608156281497;23.678,68;6409441534499;43.997,57;861510675390;21.514,99;8372554381154
2010-05-13;21.691,56;5576006202528;24.676,57;4619843887336;23.729,15;6417594710457;44.079,19;863578903538;21.567,66;8395685531057
2010-05-14;21.725,79;5586753932270;24.709,49;4626127382959;23.766,99;6430034072321;44.127,94;865247292724;21.605,51;8414913255214
2010-05-15;21.725,79;5586753932270;24.709,49;4626127382959;23.766,99;6430034072321;44.127,94;865247292724;21.605,51;8414913255214
2010-05-16;21.725,79;5586753932270;24.709,49;4626127382959;23.766,99;6430034072321;44.127,94;865247292724;21.605,51;8414913255214
2010-05-17;21.656,96;5574173423330;24.660,27;4624297212806;23.711,86;6426693301181;44.022,95;861384686657;21.547,63;8402728039312
2010-05-18;21.602,07;5560070066525;24.596,21;4612944856880;23.655,61;6415584626776;43.908,77;859184861760;21.485,95;8378862381729
2010-05-19;21.612,44;5563843782791;24.637,39;4623026784546;23.678,60;6422873981811;43.956,38;861152502122;21.504,02;8386590998658
2010-05-20;21.511,04;5537317327111;24.522,03;4603130121814;23.589,89;6396719471553;43.794,44;858153435357;21.407,30;8349249907745
2010-05-21;21.511,04;5537317327111;24.522,03;4603130121814;23.589,89;6396719471553;43.794,44;858153435357;21.407,30;8349249907745
2010-05-22;21.511,04;5537317327111;24.522,03;4603130121814;23.589,89;6396719471553;43.794,44;858153435357;21.407,30;8349249907745
2010-05-23;21.511,04;5537317327111;24.522,03;4603130121814;23.589,89;6396719471553;43.794,44;858153435357;21.407,30;8349249907745
2010-05-24;21.255,47;5472016992447;24.252,95;4553523456976;23.364,80;6335752955289;43.411,60;850702608540;21.180,49;8259564310660
2010-05-25;21.192,53;5455947294448;24.169,99;4537815996904;23.291,62;6316875680739;43.265,05;847838300257;21.102,65;8228382241303
2010-05-26;21.046,21;5417903451634;24.024,49;4508942788082;23.148,47;6278599100779;42.997,24;842351839330;20.959,48;8173204613530
2010-05-27;21.140,76;5442686459148;24.166,43;4535893414740;23.264,54;6302204400036;43.168,17;845647000674;21.062,23;8213171795232
2010-05-28;21.292,77;5481346432571;24.294,90;4561084350391;23.419,64;6343945853414;43.414,81;850483973877;21.192,76;8263904743409
2010-05-29;21.292,77;5481346432571;24.294,90;4561084350391;23.419,64;6343945853414;43.414,81;850483973877;21.192,76;8263904743409
2010-05-30;21.292,77;5481346432571;24.294,90;4561084350391;23.419,64;6343945853414;43.414,81;850483973877;21.192,76;8263904743409
2010-05-31;21.348,99;5492081560740;24.353,01;4566014355775;23.472,89;6352363649998;43.531,08;851609237940;21.244,23;8283858197651
2010-06-01;21.425,32;5507866909374;24.434,98;4581070048597;23.562,06;6375725114978;43.696,56;853243027854;21.326,41;8312208220351
2010-06-02;21.344,73;5485014316154;24.357,31;4564976615593;23.503,53;6358433271350;43.593,04;851460052446;21.262,49;8282053259502
2010-06-03;21.418,69;5503442706974;24.419,95;4576183475583;23.559,81;6372913523424;43.676,42;854256954447;21.323,29;8307527093252
2010-06-04;21.506,56;5526450402846;24.533,57;4597122728985;23.649,57;6394898177477;43.843,53;857516159670;21.408,32;8339432333404
2010-06-05;21.506,56;5526450402846;24.533,57;4597122728985;23.649,57;6394898177477;43.843,53;857516159670;21.408,32;8339432333404
2010-06-06;21.506,56;5526450402846;24.533,57;4597122728985;23.649,57;6394898177477;43.843,53;857516159670;21.408,32;8339432333404
2010-06-07;21.413,10;5501977627423;24.463,37;4582132725279;23.586,29;6376605409907;43.717,55;855128044391;21.346,11;8315076400766
2010-06-08;21.348,09;5486351528875;24.402,09;4569411561993;23.532,44;6362052186942;43.604,25;852936777255;21.295,77;8296409738073
2010-06-09;21.389,43;5496203526757;24.429,11;4574889930380;23.564,25;6374301616311;43.646,18;853653150782;21.321,90;8305128747138
2010-06-10;21.382,18;5493487517992;24.436,27;4577158801887;23.577,08;6375758442103;43.681,75;854432165952;21.319,99;8306615767684
2010-06-11;21.471,86;5513569864766;24.543,82;4595042123156;23.658,39;6397369135502;43.843,23;857353432544;21.395,83;8337026942184
2010-06-12;21.471,86;5513569864766;24.543,82;4595042123156;23.658,39;6397369135502;43.843,23;857353432544;21.395,83;8337026942184
2010-06-13;21.471,86;5513569864766;24.543,82;4595042123156;23.658,39;6397369135502;43.843,23;857353432544;21.395,83;8337026942184
2010-06-14;21.519,16;5528999363059;24.598,57;4603376852868;23.716,59;6414306875409;43.941,89;859631749494;21.446,29;8366825504456
2010-06-15;21.593,29;5550186813584;24.683,06;4627614264294;23.801,52;6440004829804;44.117,16;860717183751;21.510,59;8393270735262
2010-06-16;21.699,55;5580658875175;24.786,89;4649280637027;23.892,84;6469081451829;44.284,87;864551021625;21.606,99;8433235920510
2010-06-17;21.698,42;5583535293921;24.778,77;4651536081683;23.890,19;6470716546909;44.296,98;866565703279;21.599,82;8434170492871
2010-06-18;21.743,28;5596659820461;24.848,50;4665803868657;23.930,97;6487026960606;44.394,81;868470527303;21.647,95;8453633041387
2010-06-19;21.743,28;5596659820461;24.848,50;4665803868657;23.930,97;6487026960606;44.394,81;868470527303;21.647,95;8453633041387
2010-06-20;21.743,28;5596659820461;24.848,50;4665803868657;23.930,97;6487026960606;44.394,81;868470527303;21.647,95;8453633041387
2010-06-21;21.856,91;5626266188674;24.972,33;4689276019885;24.024,70;6513875274517;44.562,11;871661996198;21.751,37;8493562068452
2010-06-22;21.959,83;5653463349247;25.084,29;4711758933496;24.121,96;6539243702276;44.749,59;875190170161;21.841,63;8529827893073
2010-06-23;21.911,67;5641069808923;25.032,33;4703085224424;24.068,39;6525905143162;44.677,59;873934015501;21.794,86;8512249292819
2010-06-24;21.896,06;5634845878695;25.021,02;4703623755793;24.054,62;6524627950176;44.654,46;873579723990;21.785,20;8509918710186
2010-06-25;21.894,97;5635738125111;24.986,25;4697997566051;24.039,57;6521077134148;44.619,22;873067434036;21.765,99;8499987161933
2010-06-26;21.894,97;5635738125111;24.986,25;4697997566051;24.039,57;6521077134148;44.619,22;873067434036;21.765,99;8499987161933
2010-06-27;21.894,97;5635738125111;24.986,25;4697997566051;24.039,57;6521077134148;44.619,22;873067434036;21.765,99;8499987161933
2010-06-28;21.894,97;5635738125111;24.986,25;4697997566051;24.039,57;6521077134148;44.619,22;873067434036;21.765,99;8499987161933
2010-06-29;21.903,60;5636791580607;24.993,52;4700435166764;24.059,08;6529036054121;44.661,74;873992578678;21.792,13;8510255894270
2010-06-30;21.783,79;5602723493952;24.829,88;4668748840989;23.902,92;6484493806874;44.401,68;868039303239;21.646,74;8454571945542
2010-07-01;21.798,26;5603444413011;24.829,19;4674387794836;23.909,75;6486741630847;44.412,01;866380657550;21.651,89;8451510667259
2010-07-02;21.712,75;5580338990899;24.736,48;4656426376955;23.845,44;6468791469777;44.301,29;864263234605;21.572,14;8414552099730
2010-07-03;21.712,75;5580338990899;24.736,48;4656426376955;23.845,44;6468791469777;44.301,29;864263234605;21.572,14;8414552099730
2010-07-04;21.712,75;5580338990899;24.736,48;4656426376955;23.845,44;6468791469777;44.301,29;864263234605;21.572,14;8414552099730
2010-07-05;21.666,24;5567806437538;24.688,71;4646410083546;23.794,30;6455304380673;44.239,30;863110821200;21.534,54;8399140435831
2010-07-06;21.674,24;5569825362141;24.693,66;4645024422394;23.786,30;6448891733436;44.235,00;864854862598;21.535,71;8401435576215
2010-07-07;21.741,23;5585718933118;24.786,11;4660819820912;23.865,78;6472327873692;44.386,52;867528663451;21.606,69;8428102779894
2010-07-08;21.850,46;5613808343542;24.924,59;4686709963085;23.972,60;6499845255263;44.592,79;871730895550;21.717,20;8472835535945
2010-07-09;21.964,13;5642232957729;25.061,86;4711263577116;24.085,68;6530660390669;44.802,46;875894669871;21.821,39;8509856389703
2010-07-10;21.964,13;5642232957729;25.061,86;4711263577116;24.085,68;6530660390669;44.802,46;875894669871;21.821,39;8509856389703
2010-07-11;21.964,13;5642232957729;25.061,86;4711263577116;24.085,68;6530660390669;44.802,46;875894669871;21.821,39;8509856389703
2010-07-12;22.052,74;5665502036602;25.169,53;4728660594420;24.172,52;6552227643291;44.972,87;879313622850;21.907,89;8542057628920
2010-07-13;22.063,26;5667409262640;25.183,27;4732358999242;24.190,42;6559368604556;44.992,98;879411157763;21.922,36;8548991114162
2010-07-14;22.110,18;5681819254273;25.227,76;4744826760482;24.224,45;6573043300590;45.071,05;881349884964;21.963,56;8565475766501
2010-07-15;22.147,74;5695460494811;25.267,28;4762754407523;24.266,35;6589028328359;45.154,92;881188352694;22.000,25;8578656554964
2010-07-16;22.147,74;5695460494811;25.267,28;4762754407523;24.266,35;6589028328359;45.154,92;881188352694;22.000,25;8578656554964
2010-07-17;22.147,74;5695460494811;25.267,28;4762754407523;24.266,35;6589028328359;45.154,92;881188352694;22.000,25;8578656554964
2010-07-18;22.147,74;5695460494811;25.267,28;4762754407523;24.266,35;6589028328359;45.154,92;881188352694;22.000,25;8578656554964
2010-07-19;22.027,56;5672144358517;25.129,52;4740714509306;24.147,43;6565692931065;44.975,47;878686823317;21.885,37;8551554678938
2010-07-20;22.034,86;5675322889913;25.129,22;4742060211059;24.149,32;6568405711706;44.986,77;878869203602;21.884,98;8554115825265
2010-07-21;22.074,97;5685414045731;25.183,76;4753978207488;24.212,53;6585692364136;45.071,48;882444617433;21.941,07;8577400635422
2010-07-22;22.083,09;5688086313135;25.207,07;4760519889348;24.237,35;6595800287172;45.101,19;882985259578;21.952,58;8581831245093
