
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-05-15;22.607,27;481479401857;24.061,53;477330798659;21.220,79;632841697434;38.500,19;51478609882;22.185,13;525509092347
2010-05-16;22.607,27;481479401857;24.061,53;477330798659;21.220,79;632841697434;38.500,19;51478609882;22.185,13;525509092347
2010-05-17;22.717,74;486778819541;24.147,70;481021682417;21.307,28;637584835921;38.693,86;51822744892;22.275,20;527918472459
2010-05-18;22.728,23;487665163352;24.156,80;481821589488;21.316,79;637878427237;38.709,84;51697188120;22.282,99;528337538978
2010-05-19;22.735,67;488031458984;24.150,43;479105952528;21.326,21;637273667982;38.727,67;51743076581;22.286,82;526503747711
2010-05-20;22.729,24;489717653649;24.146,63;485709468252;21.312,96;641655614818;38.731,04;51749812121;22.295,19;528301318851
2010-05-21;22.729,24;489717653649;24.146,63;485709468252;21.312,96;641655614818;38.731,04;51749812121;22.295,19;528301318851
2010-05-22;22.729,24;489717653649;24.146,63;485709468252;21.312,96;641655614818;38.731,04;51749812121;22.295,19;528301318851
2010-05-23;22.729,24;489717653649;24.146,63;485709468252;21.312,96;641655614818;38.731,04;51749812121;22.295,19;528301318851
2010-05-24;22.725,32;493015052209;24.145,12;489829675244;21.321,30;644836535600;38.747,29;51897442147;22.294,29;530751826362
2010-05-25;22.720,80;493446450591;24.147,76;492683432150;21.320,88;646994727579;38.743,72;51914992812;22.290,66;532126886641
2010-05-26;22.746,80;497965392719;24.180,20;501041657072;21.343,24;653315179739;38.791,63;52031899941;22.321,18;535940390641
2010-05-27;22.762,66;505070845625;24.208,99;515850806969;21.376,29;669997617400;38.808,73;52118024408;22.323,78;540442208586
2010-05-28;22.784,23;508013722666;24.207,27;520918101129;21.383,22;674674258121;38.809,59;52213823199;22.321,20;545158560905
2010-05-29;22.784,23;508013722666;24.207,27;520918101129;21.383,22;674674258121;38.809,59;52213823199;22.321,20;545158560905
2010-05-30;22.784,23;508013722666;24.207,27;520918101129;21.383,22;674674258121;38.809,59;52213823199;22.321,20;545158560905
2010-05-31;22.812,84;523626116071;24.207,21;542054202796;21.392,71;693433207105;38.838,42;52259564748;22.338,59;555977875746
2010-06-01;22.813,74;522792990025;24.192,85;562318346693;21.406,01;711425052819;38.830,81;52113929305;22.345,53;564520840536
2010-06-02;22.813,14;539776358548;24.186,09;573512290662;21.413,50;723222406541;38.842,46;52416596176;22.350,97;571837761581
2010-06-03;22.850,10;545268624823;24.213,62;584994920818;21.426,32;733079686318;38.882,01;53275135737;22.359,10;575773509561
2010-06-04;22.861,49;548597320010;24.221,05;591046035886;21.435,74;739438045323;38.886,54;53495794323;22.368,41;580629300691
2010-06-05;22.861,49;548597320010;24.221,05;591046035886;21.435,74;739438045323;38.886,54;53495794323;22.368,41;580629300691
2010-06-06;22.861,49;548597320010;24.221,05;591046035886;21.435,74;739438045323;38.886,54;53495794323;22.368,41;580629300691
2010-06-07;22.860,89;551903367930;24.243,86;596252767355;21.448,22;746276499891;38.924,29;53671548990;22.395,63;584310642224
2010-06-08;22.858,35;553756451284;24.243,30;600192743113;21.447,50;750176831332;38.948,05;53914027295;22.401,73;584172513659
2010-06-09;22.870,36;552291944491;24.257,76;601275434111;21.454,11;749876697775;38.966,69;54183062970;22.413,46;583081433467
2010-06-10;22.872,73;555205825231;24.245,52;606853176915;21.449,53;755846727179;38.948,57;54241057206;22.408,75;585233592816
2010-06-11;22.884,19;557555250525;24.273,96;610408389180;21.464,48;759772383258;38.969,02;54098732319;22.414,57;588925672746
