
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-03-17;23.688,18;3227411848068;24.027,55;3234623188581;24.269,61;3049800737365;22.930,34;269597115697;24.573,23;3549954235557
2010-03-18;23.951,49;3266674606020;24.302,09;3274988783368;24.529,24;3085707321280;23.147,78;272312565382;24.842,11;3592232023144
2010-03-19;23.860,02;3255964570060;24.214,56;3264989985634;24.420,54;3075654174545;23.061,65;271347738794;24.748,14;3580532307641
2010-03-20;23.860,02;3255964570060;24.214,56;3264989985634;24.420,54;3075654174545;23.061,65;271347738794;24.748,14;3580532307641
2010-03-21;23.860,02;3255964570060;24.214,56;3264989985634;24.420,54;3075654174545;23.061,65;271347738794;24.748,14;3580532307641
2010-03-22;23.791,13;3246975075683;24.141,21;3255759729123;24.321,80;3062637754095;22.975,10;270533949479;24.667,18;3569939572501
2010-03-23;23.834,81;3253769096756;24.136,36;3256003713950;24.387,70;3071387992910;22.996,09;270795488055;24.699,35;3574822756359
2010-03-24;23.942,22;3268907910442;24.240,10;3269810781595;24.478,93;3083428192752;23.078,31;271789896097;24.811,22;3590983140020
2010-03-25;23.872,58;3259663310114;24.195,93;3264270520416;24.376,68;3071715239687;23.005,61;271013931463;24.732,78;3580372209623
2010-03-26;23.828,60;3254982371108;24.168,89;3261338076134;24.319,44;3064846623631;22.966,94;270555143162;24.688,14;3574613697258
2010-03-27;23.828,60;3254982371108;24.168,89;3261338076134;24.319,44;3064846623631;22.966,94;270555143162;24.688,14;3574613697258
2010-03-28;23.828,60;3254982371108;24.168,89;3261338076134;24.319,44;3064846623631;22.966,94;270555143162;24.688,14;3574613697258
2010-03-29;23.841,57;3257279180804;24.177,91;3263205265656;24.357,38;3070608290867;22.991,80;270931368499;24.714,04;3580557896920
2010-03-30;23.995,52;3278599131942;24.324,58;3282885848719;24.532,22;3093317196994;23.139,89;272726228931;24.875,86;3603901407143
2010-03-31;23.978,48;3271818188140;24.325,17;3279978665818;24.519,62;3087884359104;23.145,76;272278529363;24.862,99;3603204591977
2010-04-01;23.949,22;3267545829861;24.282,95;3274158766849;24.503,07;3088323783831;23.130,72;267153142675;24.831,71;3601688334745
2010-04-02;23.949,22;3267545829861;24.282,95;3274158766849;24.503,07;3088323783831;23.130,72;267153142675;24.831,71;3601688334745
2010-04-03;23.949,22;3267545829861;24.282,95;3274158766849;24.503,07;3088323783831;23.130,72;267153142675;24.831,71;3601688334745
2010-04-04;23.949,22;3267545829861;24.282,95;3274158766849;24.503,07;3088323783831;23.130,72;267153142675;24.831,71;3601688334745
2010-04-05;24.122,39;3292564650396;24.457,05;3298519985691;24.695,69;3113272943947;23.306,09;273926036711;25.017,91;3623618341263
2010-04-06;24.187,77;3301708344296;24.521,36;3307991363220;24.749,17;3121393349237;23.377,36;274840839877;25.079,73;3633486169947
2010-04-07;24.336,27;3322881077550;24.701,24;3332970842325;24.907,84;3142230918704;23.519,74;276545833957;25.255,26;3660050891410
2010-04-08;24.283,82;3316673973920;24.655,55;3328262900758;24.849,74;3136495777770;23.463,78;275891449632;25.190,97;3652036004333
2010-04-09;24.197,64;3305627256912;24.549,83;3315411168223;24.751,56;3125448272733;23.382,82;275117525364;25.095,74;3638327772739
2010-04-10;24.197,64;3305627256912;24.549,83;3315411168223;24.751,56;3125448272733;23.382,82;275117525364;25.095,74;3638327772739
2010-04-11;24.197,64;3305627256912;24.549,83;3315411168223;24.751,56;3125448272733;23.382,82;275117525364;25.095,74;3638327772739
2010-04-12;24.291,97;3320156625648;24.651,78;3329682792198;24.864,01;3141172210482;23.487,77;276578646604;25.201,81;3655089538347
2010-04-13;24.268,86;3318930663799;24.640,45;3329777476941;24.842,10;3140166846793;23.480,06;276572156504;25.192,49;3655703371147
2010-04-14;24.224,18;3315718791138;24.583,57;3325825791232;24.784,37;3135703503110;23.426,87;276072617670;25.135,11;3648981252192
2010-04-15;24.428,52;3348259967390;24.776,78;3362203484632;24.997,52;3173399304665;23.618,52;272538931360;25.343,88;3680602675639
2010-04-16;24.548,88;3367703267006;24.884,54;3382053958588;25.101,57;3190998853999;23.689,20;279783492134;25.460,31;3698138798354
2010-04-17;24.548,88;3367703267006;24.884,54;3382053958588;25.101,57;3190998853999;23.689,20;279783492134;25.460,31;3698138798354
2010-04-18;24.548,88;3367703267006;24.884,54;3382053958588;25.101,57;3190998853999;23.689,20;279783492134;25.460,31;3698138798354
2010-04-19;24.337,81;3347664448712;24.677,45;3357326198647;24.846,56;3169355296236;23.459,67;277365218764;25.226,86;3677891404369
2010-04-20;24.157,09;3324196757032;24.480,44;3334756491180;24.682,23;3151730372544;23.292,35;275722784435;25.036,99;3653007085684
2010-04-21;24.363,18;3354643811051;24.701,72;3365806534124;24.911,14;3182835282578;23.495,44;278248805220;25.273,31;3688277209099
2010-04-22;24.328,72;3350053616171;24.667,62;3362823149882;24.860,39;3177500661480;23.461,32;277918407608;25.227,82;3682650818622
2010-04-23;24.200,10;3332848843775;24.533,73;3345349267984;24.726,88;3161798478412;23.343,20;276626001267;25.092,67;3664144152825
