
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-11-27;23.546,77;2842657827662;24.276,85;2515470133280;24.272,00;3695381425384;23.532,72;156122001117;24.045,25;326446195300;23.436,77;3607478022863
2012-11-28;23.536,81;2839470154720;24.264,89;2511679263015;24.249,25;3688292005143;23.516,96;156051433957;24.036,32;326286441361;23.421,59;3604547052426
2012-11-29;23.524,95;2837555649283;24.244,02;2506883426316;24.229,71;3682820915871;23.495,25;156681650420;24.019,68;326102884882;23.407,70;3601931372520
2012-11-30;23.570,72;2836482075747;24.291,59;2511210116691;24.277,38;3679888291641;23.548,94;157103190759;24.057,89;325696203969;23.447,27;3590006495648
2012-12-01;23.570,72;2836482075747;24.291,59;2511210116691;24.277,38;3679888291641;23.548,94;157103190759;24.057,89;325696203969;23.447,27;3590006495648
2012-12-02;23.570,72;2836482075747;24.291,59;2511210116691;24.277,38;3679888291641;23.548,94;157103190759;24.057,89;325696203969;23.447,27;3590006495648
2012-12-03;23.620,15;2843320412238;24.349,78;2515182099469;24.329,88;3683946739906;23.605,12;160635899335;24.121,22;324003259922;23.498,98;3591337701079
2012-12-04;23.635,53;2844482784001;24.368,18;2515485061786;24.347,83;3684127266314;23.623,61;160855478992;24.139,58;326744940586;23.519,40;3593081256361
2012-12-05;23.623,10;2842103551980;24.357,80;2513066292633;24.337,49;3680838652618;23.613,14;160896494066;24.128,51;326513085522;23.512,78;3591464201099
2012-12-06;23.684,94;2848896250552;24.421,52;2518114395195;24.401,41;3689350798553;23.673,90;161550529404;24.180,58;327233227501;23.573,96;3600604908133
2012-12-07;23.692,34;2850551268460;24.426,61;2520015740123;24.397,55;3689773995541;23.669,49;161698293252;24.165,29;327075688016;23.570,20;3599691190092
2012-12-08;23.692,34;2850551268460;24.426,61;2520015740123;24.397,55;3689773995541;23.669,49;161698293252;24.165,29;327075688016;23.570,20;3599691190092
2012-12-09;23.692,34;2850551268460;24.426,61;2520015740123;24.397,55;3689773995541;23.669,49;161698293252;24.165,29;327075688016;23.570,20;3599691190092
2012-12-10;23.703,99;2852174478151;24.436,09;2520170466063;24.413,85;3691759833625;23.682,22;162038323304;24.169,87;327190543460;23.572,61;3600224595703
2012-12-11;23.736,62;2856676868557;24.463,66;2522179661815;24.447,50;3697237412547;23.707,53;162491041779;24.192,30;327642299396;23.605,88;3605997131764
2012-12-12;23.794,15;2865364346122;24.523,93;2531930110949;24.513,02;3711812894093;23.773,95;164012660601;24.242,09;328873555755;23.667,28;3617637487967
2012-12-13;23.892,30;2883005361634;24.623,53;2542352902734;24.614,93;3736295692776;23.865,65;168261154472;24.334,04;330317200977;23.768,78;3641907724353
2012-12-14;23.864,65;2881987388924;24.603,99;2541017770135;24.596,32;3735618394960;23.832,71;169077302885;24.322,39;330395502389;23.744,17;3641204956351
2012-12-15;23.864,65;2881987388924;24.603,99;2541017770135;24.596,32;3735618394960;23.832,71;169077302885;24.322,39;330395502389;23.744,17;3641204956351
